name,latitude,longitude,free_bikes
Burrard & 7th,49.265336,-123.145823,7
South False Creek Seawall,49.267628,-123.127698,10
Chestnut & McNicoll,49.275938,-123.145939,2
Creekside Park North,49.2756,-123.102661,8
Alexander & Main,49.284157,-123.099917,13
Arbutus Greenway & 14th,49.258924,-123.152591,7
Arbutus Greenway & Fir,49.266774,-123.141135,12
Kitsilano Beach Park,49.273355,-123.154493,24
Arbutus & McNicoll,49.276144,-123.151272,19
Vine & 4th,49.268339,-123.157443,7
Alexander & Dunlevy,49.284062,-123.095097,4
Alder & 11th,49.261742,-123.13148,7
10th & Columbia,49.262206,-123.109091,5
1st & Manitoba,49.27023,-123.10651,4
10th & Ontario,49.262062,-123.104656,14
Quebec & 1st,49.27033,-123.10275,14
Columbia & 14th,49.258902,-123.109596,4
Bute & Davie,49.282224,-123.132778,2
7th & Laurel,49.265071,-123.123864,10
7th &  Alder,49.265198,-123.131043,4
Science World,49.273691,-123.102232,13
1st & Scotia,49.2685027,-123.0975014,16
Georgia & Main,49.278529,-123.100017,12
Shaw Tower,49.288682,-123.11818,9
Pine & 14th,49.258864,-123.14353,0
York & Yew,49.271741,-123.155421,5
Pine & 10th,49.262822,-123.14338,4
8th & Scotia,49.263635,-123.099236,6
Alberni & Jervis,49.28763,-123.127245,7
Stanley Park - Information Booth,49.297933,-123.130758,11
14th & Alder,49.258819,-123.131317,8
Pender & Gore,49.280284,-123.097052,9
Carrall & Seawall,49.276294,-123.106534,14
Glen & Union,49.277469,-123.081315,8
Adanac & McLean,49.277665,-123.073653,21
Commercial & Adanac,49.277436,-123.070427,3
Pender & Commercial,49.280332,-123.070068,8
Keefer & Princess,49.279369,-123.091241,6
Alexander & Railway,49.283992,-123.091206,9
Napier & Commercial,49.274881,-123.069323,7
Britannia Parking Lot,49.275882,-123.071865,11
Thornton & National,49.273777,-123.092723,6
Keith & 6th,49.265005,-123.079481,10
Glen & 6th,49.265024,-123.08127,8
Grant & Commercial,49.271377,-123.069416,3
2nd & Commercial,49.268616,-123.069908,6
4th & Commercial,49.266969,-123.069936,7
8th & Commercial,49.263242,-123.070521,17
10th & Commercial,49.261403,-123.070102,4
Woodland & 10th,49.261263,-123.073707,4
Glen & Broadway,49.262242,-123.081459,6
St George & Broadway,49.262321,-123.09306,6
7th & Woodland,49.264251,-123.073853,2
Woodland & 4th,49.266751,-123.073501,4
Woodland & Graveley,49.270684,-123.073562,5
Charles & Woodland,49.2731,-123.0732,9
18th & Main,49.254667,-123.101389,6
Prince Edward & 16th,49.256694,-123.096579,5
Prince Edward & 14th,49.258352,-123.096337,5
13th & St George,49.258817,-123.092797,11
10th & Fraser,49.26151,-123.089413,4
8th & Fraser,49.263382,-123.088837,6
St Catherines & 10th,49.261353,-123.085333,3
St Catherines & 7th,49.264466,-123.085183,5
Pender & Victoria,49.280197,-123.065859,4
Victoria & 4th,49.266725,-123.065925,5
Victoria & 10th,49.261188,-123.066009,4
15th & Victoria (Trout Lake),49.256857,-123.065646,5
Triumph & Victoria,49.283986,-123.065264,6
Windsor & 14th,49.257985,-123.083366,6
14th & Fraser,49.257939,-123.089531,2
15th & Knight,49.256496,-123.075426,7
Commercial & Pandora,49.283236,-123.070443,12
Carolina & Great Northern Way,49.267266,-123.090786,10
6th & Prince Edward,49.265242,-123.095577,5
6th & Carolina,49.265213,-123.090785,6
Stanley Park - Third Beach Parking Lot,49.302577,-123.155616,15
Union & Dunlevy,49.277595,-123.09583,6
Keefer & Hawks,49.279235,-123.087528,13
Hawks & Union,49.277333,-123.087359,7
Charles & Commercial,49.273103,-123.069892,5
10th & Kingsway,49.261973,-123.09725,6
Beach & Hornby,49.275295,-123.132585,6
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,15
Bute & Barclay,49.284893,-123.128685,4
8th & Yukon,49.263962,-123.112621,13
Princess & Union,49.277615,-123.091654,6
Dunsmuir & Richards,49.282214,-123.114101,13
5th & Main,49.266456,-123.100324,13
3rd & Quebec,49.268216,-123.103168,17
Richards & Cordova,49.284554,-123.111031,16
Richards & Robson,49.280216,-123.117639,11
Olympic Village Station,49.266314,-123.116011,16
Campbell & Hastings,49.280852,-123.084746,8
Cardero & Davie,49.285512,-123.1384,3
Aquatic Centre,49.27821,-123.136972,22
Beach & Broughton,49.281301,-123.139108,16
Beach & Cardero,49.283298,-123.142288,20
Georgia & Homer,49.280787,-123.115271,2
Columbia & 5th,49.266476,-123.109389,14
Haro & Denman,49.290587,-123.13625,14
Stanley Park - Prospect Point,49.312568,-123.144177,6
Arbutus & 10th,49.262835,-123.152626,5
Ontario & 16th,49.256825,-123.105234,4
Richards & Davie,49.275683,-123.124388,6
8th & Prince Edward,49.263518,-123.09568,6
Jervis & Robson,49.28691,-123.128818,1
Smithe & Burrard,49.282503,-123.124697,8
Broughton & Davie,49.283749,-123.136133,1
Cypress & 10th,49.262944,-123.148109,5
Granville Island,49.27029,-123.135025,13
McLean & Pender,49.280427,-123.074082,9
Richards & Smithe,49.279259,-123.119145,2
Bute & Robson,49.285836,-123.127265,15
Trafalgar & Cornwall,49.272969,-123.164325,6
Alma & Point Grey,49.27247,-123.185643,4
Point Grey & Blenheim,49.271471,-123.17731,6
Hastings & Broughton,49.290112,-123.127062,12
Yew & Broadway,49.263523,-123.155267,6
8th & Macdonald,49.264928,-123.168068,7
Balaclava & Broadway,49.264483,-123.173926,16
Dunbar & Broadway,49.264579,-123.18373,2
Grandview & Commercial,49.263746,-123.069892,6
14th & Oak,49.258761,-123.127071,3
Wallace & 4th,49.268974,-123.190701,9
Balsam & Cornwall,49.273011,-123.159663,7
Balaclava & 6th,49.266924,-123.173849,8
Trafalgar & Broadway,49.264326,-123.164725,8
Dunbar & 6th,49.266636,-123.183661,6
18th & Cambie,49.254818,-123.114785,4
Blenheim & 4th,49.268837,-123.177633,6
18th & Heather,49.255034,-123.120226,7
Point Grey & Bayswater,49.271044,-123.170661,8
20th & Main,49.252691,-123.101289,6
Station & Terminal,49.272172,-123.097978,8
Jericho Beach,49.271082,-123.191458,20
Burrard & Drake,49.27808,-123.130557,5
Columbia & 1st,49.269969,-123.109623,13
Davie & Beach,49.287528,-123.142139,27
Morton & Denman,49.28803,-123.142135,6
13th & Cambie,49.259579,-123.114769,3
Nelson & Denman,49.2890705989865,-123.138407369468,15
Melville & Bute,49.287782,-123.12395,9
Seymour & Cordova,49.28512,-123.11242,19
Arbutus & Nanton,49.247854,-123.153422,5
Yukon & 6th,49.265939,-123.1129,9
11th & Kingsway,49.261122,-123.097571,4
Wylie & 2nd,49.267725,-123.11311,6
29th & Cambie,49.245135,-123.116098,9
Rolston & Granville,49.274232,-123.129998,7
East Blvd & 37th,49.238105,-123.154966,9
28th & Willow,49.246243,-123.124373,10
Ontario & 23rd,49.249722,-123.104991,7
30th & Ontario,49.243375,-123.104978,9
Franklin & Nanaimo,49.282087,-123.056909,7
Lakewood & Triumph,49.283968,-123.061615,9
Wall & Eton,49.287464,-123.060771,10
Lakewood & Oxford,49.285575,-123.061575,9
22nd & Cambie,49.251358,-123.115637,6
King Edward & Cambie,49.249184,-123.116141,8
Heather & 29th,49.245535,-123.120496,11
Cardero & Robson,49.289255,-123.132677,16
Commercial & 20th,49.252656,-123.067965,0
Hornby & Drake,49.277527,-123.129464,2
Burrard & 14th,49.259469,-123.145718,7
